DATE,DPCREDIT
11/27/2019,2.25
11/28/2019,2.25
11/29/2019,2.25
12/2/2019,2.25
12/3/2019,2.25
12/4/2019,2.25
12/5/2019,2.25
12/6/2019,2.25
12/9/2019,2.25
12/10/2019,2.25
12/11/2019,2.25
12/12/2019,2.25
12/13/2019,2.25
12/16/2019,2.25
12/17/2019,2.25
12/18/2019,2.25
12/19/2019,2.25
12/20/2019,2.25
12/23/2019,2.25
12/24/2019,2.25
12/25/2019,2.25
12/26/2019,2.25
12/27/2019,2.25
12/30/2019,2.25
12/31/2019,2.25
1/1/2020,2.25
1/2/2020,2.25
1/3/2020,2.25
1/6/2020,2.25
1/7/2020,2.25
1/8/2020,2.25
1/9/2020,2.25
1/10/2020,2.25
1/13/2020,2.25
1/14/2020,2.25
1/15/2020,2.25
1/16/2020,2.25
1/17/2020,2.25
1/20/2020,2.25
1/21/2020,2.25
1/22/2020,2.25
1/23/2020,2.25
1/24/2020,2.25
1/27/2020,2.25
1/28/2020,2.25
1/29/2020,2.25
1/30/2020,2.25
1/31/2020,2.25
2/3/2020,2.25
2/4/2020,2.25
2/5/2020,2.25
2/6/2020,2.25
2/7/2020,2.25
2/10/2020,2.25
2/11/2020,2.25
2/12/2020,2.25
2/13/2020,2.25
2/14/2020,2.25
2/17/2020,2.25
2/18/2020,2.25
2/19/2020,2.25
2/20/2020,2.25
2/21/2020,2.25
2/24/2020,2.25
2/25/2020,2.25
2/26/2020,2.25
2/27/2020,2.25
2/28/2020,2.25
3/2/2020,2.25
3/3/2020,2.25
3/4/2020,1.75
3/5/2020,1.75
3/6/2020,1.75
3/9/2020,1.75
3/10/2020,1.75
3/11/2020,1.75
3/12/2020,1.75
3/13/2020,1.75
3/16/2020,0.25
3/17/2020,0.25
3/18/2020,0.25
3/19/2020,0.25
3/20/2020,0.25
3/23/2020,0.25
3/24/2020,0.25
3/25/2020,0.25
3/26/2020,0.25
3/27/2020,0.25
3/30/2020,0.25
3/31/2020,0.25
4/1/2020,0.25
4/2/2020,0.25
4/3/2020,0.25
4/6/2020,0.25
4/7/2020,0.25
4/8/2020,0.25
4/9/2020,0.25
4/10/2020,0.25
4/13/2020,0.25
4/14/2020,0.25
4/15/2020,0.25
4/16/2020,0.25
4/17/2020,0.25
4/20/2020,0.25
4/21/2020,0.25
4/22/2020,0.25
4/23/2020,0.25
4/24/2020,0.25
4/27/2020,0.25
4/28/2020,0.25
4/29/2020,0.25
4/30/2020,0.25
5/1/2020,0.25
5/4/2020,0.25
5/5/2020,0.25
5/6/2020,0.25
5/7/2020,0.25
5/8/2020,0.25
5/11/2020,0.25
5/12/2020,0.25
5/13/2020,0.25
5/14/2020,0.25
5/15/2020,0.25
5/18/2020,0.25
5/19/2020,0.25
5/20/2020,0.25
5/21/2020,0.25
5/22/2020,0.25
5/25/2020,0.25
5/26/2020,0.25
5/27/2020,0.25
5/28/2020,0.25
5/29/2020,0.25
6/1/2020,0.25
6/2/2020,0.25
6/3/2020,0.25
6/4/2020,0.25
6/5/2020,0.25
6/8/2020,0.25
6/9/2020,0.25
6/10/2020,0.25
6/11/2020,0.25
6/12/2020,0.25
6/15/2020,0.25
6/16/2020,0.25
6/17/2020,0.25
6/18/2020,0.25
6/19/2020,0.25
